[006.4s - 010.0s] 在这个视频中,我们将学习有关牛奶的一些基础的博士学习,
[152.2s - 155.3s] 牛奶里面的脂肪越多,
[155.3s - 156.3s] 水越厚,
[156.3s - 158.3s] 风越长。
[158.3s - 161.3s] 想想牛奶的氧化骨
[161.3s - 164.5s] 是一系列围巾固在一起。
[164.5s - 166.5s] 在这些围巾之间,
[166.5s - 167.5s] 有一个小空间,
[167.5s - 169.5s] 让水液流通。
[169.5s - 172.6s] 牛奶里面的脂肪越多,
[172.6s - 174.6s] 水液越厚。
[174.6s - 176.6s] 而水液越长,
[176.6s - 178.6s] 就会流入气泡中的缺口,
[178.6s - 183.5s] 创造了脂肪液的厚厚的层面。
[183.5s - 185.5s] 其他脂肪的影响,
[185.5s - 187.5s] 是牛奶的氧化骨的
[187.5s - 189.5s] 细胞部分,
[189.5s - 192.4s] 能够隐藏在牛奶里。
[192.4s - 194.4s] 牛奶里面的脂肪越少,
[194.4s - 196.4s] 就会专注在牛奶里面的气泡,
[196.4s - 198.4s] 创造了更大的量的脂肪。
[198.4s - 203.1s] 现在我们谈谈牛奶里面的三个主要功能,
[203.1s - 205.1s] 我们来谈谈四个主要的温度,
[205.1s - 207.1s] 以及它们的影响。
[207.1s - 210.4s] 我们的第一个温度是40度,
[210.4s - 212.4s] 也就是从冰箱里冻出来的温度。
[212.4s - 215.0s] 现在,
[215.0s - 217.0s] 糖分太冷了,
[217.0s - 219.0s] 酸酸的酸酸的酸酸的酸酸,
[219.0s - 221.0s] 和脂肪的酸酸的酸酸,
[221.0s - 223.9s] 都在固定的气泡中。
[223.9s - 225.9s] 我们来加热一下,
[225.9s - 228.7s] 看看会有什么发生。
[228.7s - 230.7s] 接下来是100度,
[230.7s - 233.5s] 糖分有点软硬了,
[233.5s - 235.5s] 酸酸在更加软硬,
[235.5s - 237.5s] 而且酸酸在油中凝固了。
[237.5s - 240.8s] 因为酸酸从细胶的成载
[240.8s - 242.8s] 流入了表面,
[242.8s - 244.8s] 酸酸就有了别的用途,
[244.8s - 246.8s] 方便处于糊状恶化。
[246.8s - 249.0s] 而且因为酸酸从的温度
[249.0s - 251.0s] 越高,
[251.0s - 253.0s] 在100度出现时,
[253.0s - 255.0s] 就可能不停地加热。
[255.0s - 257.9s] 现在是140度,
[257.9s - 259.9s] 糖分透透,
[259.9s - 261.9s] 酸酸继续浸润,
[261.9s - 263.9s] 所有酸酸都混入油中。
[263.9s - 269.3s] 这是我们最好的味道温度,所以停止煮汁过程,
[269.3s - 272.3s] 只要牛奶是140度或太热。
[272.3s - 276.5s] 在160度,糖分太热了,
[276.5s - 279.5s] 蛋白质变异了,而脂肪……
[279.5s - 282.5s] 我猜他们都还好。
[282.5s - 286.7s] 现在,不仅是牛奶不甜,
[286.7s - 288.7s] 泡沫也开始失败,
[288.7s - 291.7s] 但蛋白质变异的味道也很苦,
[291.7s - 294.9s] 与洋芋有很大的区别。
[294.9s - 297.9s] 现在我们明白了牛奶泡沫的理由,
[297.9s - 299.9s] 我们来谈谈它的过程。
[299.9s - 302.8s] 第一步,
[302.8s - 304.8s] 是把准备好的牛奶泡沫,
[304.8s - 307.8s] 放入正确的大碗水中,
[307.8s - 309.8s] 然后放入正确的大碗水中,
[309.8s - 311.8s] 然后放入正确的大碗水中,
[311.8s - 315.7s] 最后泡沫后的牛奶量
[315.7s - 318.7s] 应该等于你正在泡的水量。
[318.7s - 323.0s] 如果你的杯子里已经有1盎司的牛奶,
[323.0s - 325.0s] 你应该在泡沫后
[325.0s - 327.0s] 放入1盎司的牛奶。
[327.0s - 329.1s] 在沙发上,
[329.1s - 331.1s] 我们需要盎司的腌制度是25%,
[331.1s - 336.1s] 而 cappuccino的腌制度是50%。
[336.1s - 337.1s] 因此,
[337.1s - 340.1s] 初时的水中放入的牛奶量
[340.1s - 342.1s] 应该是ometric的腌制度。
[342.1s - 344.1s] 现在我们再来看看
[344.1s - 352.2s] 每个小的和最大的
[352.2s - 355.3s] 准备好的洋芋泡沫量的量。
[355.3s - 357.3s] 我们要放入放入的
[357.3s - 360.3s] cappuccino和cortado。
[360.3s - 361.3s] 在 5000年的洋芋泡沫中,
[361.3s - 365.9s] 底部的泡沫指示了整个瓶子的总量的半距离
[365.9s - 369.9s] 因此,这个六盎司的喝法是
[369.9s - 372.3s] 把三盎司的冷牛奶倒进来
[372.3s - 375.8s] 直到底部的泡沫的半距离
[375.8s - 379.0s] 沾上泡沫后,泡沫应该达到底部的泡沫
[379.0s - 383.0s] 沾上六盎司的50%的沾水
[383.0s - 384.8s] 足够满杯
[384.8s - 388.4s] 把八盎司的咖啡酱倒进来
[388.4s - 390.8s] 把四盎司的冷牛奶倒进来
[390.8s - 393.2s] 直到底部的泡沫的半距离
[393.2s - 397.5s] 沾上泡沫后,泡沫应该达到半距离
[397.5s - 401.1s] 共有八盎司的50%的沾水
[401.1s - 404.2s] 把八盎司的咖啡酱倒进来
[404.2s - 406.2s] 把六盎司的冷牛奶倒进来
[406.2s - 408.2s] 把十盎司的冷牛奶倒进来
[408.2s - 411.4s] 直到底部的泡沫
[411.4s - 414.4s] 沾上泡沫后,泡沫应该达到半距离
[414.4s - 419.4s] 共有八盎司的25%的沾水
[419.4s - 422.6s] 把十盎司的咖啡酱倒进来
[422.6s - 424.6s] 把九盎司的冷牛奶倒进来
[424.6s - 426.6s] 把十盎司的冷牛奶倒进来
[426.6s - 428.6s] 直到底部的泡沫
[428.6s - 434.3s] 沾上泡沫后,泡沫应该达到半距离
[434.3s - 438.3s] 共有12盎司的25%的沾水
[438.3s - 444.3s] 用20盎司的沾水器
[444.3s - 447.3s] 放入12盎司的冷牛奶
[447.3s - 451.3s] 直到底部的泡沫
[451.3s - 455.3s] 沾上泡沫后,泡沫应该达到三半距离
[455.3s - 458.3s] 沾上泡沫后,沾上16盎司的25%的沾水
[458.3s - 459.3s] 沾上泡沫后,沾上16盎司的冷牛奶
[459.3s - 467.2s] 因为烘焙器从底部凸起来,它会看起来像是有更多泡沫的这种尺寸。
[467.2s - 475.3s] 最后,用36盎司烘焙器做20盎司之后,
[475.3s - 479.3s] 将16盎司冷牛奶倒入烘焙器的底部。
[479.3s - 489.2s] 烘焙后,牛奶应该在25%的烘焙度上达到20盎司。
[489.2s - 494.3s] 现在我们知道烘焙器的烘焙率,
[494.3s - 497.3s] 还有几个烘焙器用来烘焙哪些饮料,
[497.3s - 500.3s] 我们来谈谈烘焙机的烘焙技术,
[500.3s - 504.3s] 以使用烘焙机的烘焙锅来制作完美的牛奶。
[504.3s - 508.3s] 我们将用足够的牛奶来做这些示范。
[508.3s - 511.3s] 我们首先将20盎司烘焙器用来烘焙,
[511.3s - 513.3s] 并将9盎司冷牛奶淋上,
[513.3s - 517.3s] 直到烘焙机的底部的烘焙器处理好。
[517.3s - 518.3s] 在烘焙机的上面,
[518.3s - 520.3s] 用烘焙器打开烘焙器的烘焙器,
[520.3s - 521.3s] 需要1秒钟左右,
[521.3s - 523.3s] 把烘焙机的内部的烘焙器取出,
[523.3s - 527.3s] 并防止烘焙机淋上牛奶。
[527.3s - 529.3s] 接下来,将烘焙机的烘焙器
[529.3s - 531.3s] 放在10-20度角度,
[531.3s - 533.9s] 从烘焙机外面。
[533.9s - 535.9s] 烘焙机将烘焙机的烘焙器底部
[535.9s - 537.9s] 放在下方的角度,
[537.9s - 538.9s] 让烘焙机的烘焙器
[538.9s - 539.9s] 进入牛奶,
[539.9s - 541.9s] 并不顺着烘焙机的表面。
[541.9s - 545.0s] 接下来,将烘焙机的烘焙器
[545.0s - 547.0s] 测试测试烘焙机的烘焙器
[547.0s - 548.0s] 进入牛奶,
[548.0s - 549.0s] 直到烘焙机的烘焙机底部
[549.0s - 550.0s] 不顺着烘焙机的烘焙机。
[550.0s - 552.4s] 这将让烘焙机
[552.4s - 553.9s] 不顺着烘焙机的烘焙机底部
[553.9s - 554.9s] 不顺着烘焙机的烘焙机内部
[554.9s - 555.9s] 都能通过烘焙机,
[555.9s - 557.8s] 并不让烘焙机的烘焙机
[557.8s - 558.8s] 运行烘焙机。
[558.8s - 559.8s] 转一下烘焙机,
[559.8s - 561.8s] 烘焙机的烘焙机的角度
[561.8s - 562.8s] 将烘焙机的烘焙机
[562.8s - 563.8s] 推出牛奶,
[563.8s - 564.8s] 铺在烘焙机周围。
[564.8s - 567.7s] 这让烘焙机能控制
[567.7s - 568.7s] 烘焙机的烘焙机的高水平,
[568.7s - 569.7s] 并只要选择烘焙机,
[569.7s - 571.7s] 只要您选择
[571.7s - 574.6s] 在一个动作中,
[574.6s - 576.6s] 打开蒸汽车的蒸汽箱
[576.6s - 578.6s] 并降低气流
[578.6s - 580.6s] 直到您听到蒸汽车的汽车
[580.6s - 592.1s] 开始吸引气流
[592.1s - 594.1s] 正确的气流量
[594.1s - 596.1s] 应该似乎是一个
[596.1s - 598.1s] 常用的纸巾
[598.1s - 600.1s] 如果它似乎是一种
[600.1s - 602.1s] 迅速的吹哨
[602.1s - 604.1s] 这意味着您没有
[604.1s - 606.1s] 足够的气流
[606.1s - 609.1s] 并应该降低气流
[609.1s - 611.1s] 直到蒸汽车的旁边
[611.1s - 613.1s] 感觉完全温暖
[613.1s - 615.1s] 或者您有正确的气流量
[615.1s - 618.2s] 任何人都可以
[618.2s - 620.2s] 为了停止气流
[620.2s - 622.2s] 将蒸汽车提高足够的气流
[622.2s - 625.1s] 以降低蒸汽车的
[625.1s - 627.1s] 蒸汽箱的底部
[627.1s - 629.1s] 保持这个位置
[629.1s - 631.1s] 让蒸汽车烧热
[631.1s - 634.3s] 蒸汽车烧热至140度
[634.3s - 636.3s] 或太热
[636.3s - 638.3s] 当蒸汽车热足够
[638.3s - 640.3s] 将蒸汽车启动
[640.3s - 642.3s] 将蒸汽车降低
[642.3s - 644.3s] 将蒸汽车的内部
[644.3s - 646.3s] 和蒸汽车的外部
[646.3s - 649.4s] 准备准备准备
[649.4s - 651.4s] 现在让我们来看看
[651.4s - 682.5s] 整个蒸汽车的整个过程
[682.5s - 684.5s] 从两个角度来看
[684.5s - 686.5s] 即使蒸汽车的整个过程
[686.5s - 688.5s] 都很顺利
[688.5s - 690.5s] 可能蒸汽车的表面
[690.5s - 692.5s] 会有些小破裂
[692.5s - 694.5s] 所以把蒸汽车的表面
[694.5s - 696.5s] 插在一个固定的表面
[696.5s - 699.7s] 把蒸汽车的表面
[699.7s - 701.7s] 插在表面
[701.7s - 703.7s] 让蒸汽车的表面
[703.7s - 705.7s] 不充足的空气
[705.7s - 708.5s] 和太多的空气
[708.5s - 710.5s] 如果蒸汽车的表面
[710.5s - 712.5s] 不充足的空气
[712.5s - 714.5s] 蒸汽车的表面
[714.5s - 716.5s] 不会有足够的泡沫
[716.5s - 727.2s] 让蒸汽车的表面
[727.2s - 729.2s] 在蒸汽车上
[729.2s - 731.2s] 会有痛苦的声音
[731.2s - 734.2s] 最后的结果
[734.2s - 736.2s] 是蒸汽车的表面
[736.2s - 739.0s] 会有薄薄的泡沫
[739.0s - 741.0s] 如果蒸汽车的表面
[741.0s - 743.8s] 不充足的泡沫
[743.8s - 745.8s] 会有太多的空气
[745.8s - 747.8s] 蒸汽车的表面
[747.8s - 749.8s] 会不充足的泡沫
[749.8s - 762.1s] 让整个表面
[762.1s - 764.1s] 叹声
[764.1s - 766.1s] 结果是厚厚的泡沫
[766.1s - 776.8s] 很快就变得稀稀
[776.8s - 778.8s] 我们到此为止
[778.8s - 780.8s] 谈论了一些
[780.8s - 784.0s] 基本的牛奶化解
[784.0s - 786.0s] 和蒸汽车的方式
[786.0s - 788.0s] 我们也谈论了
[788.0s - 790.0s] 如何把适当的牛奶
[790.0s - 793.2s] 蒸汽车的表面
[793.2s - 795.2s] 放在一边
[795.2s - 797.2s] 让我们终于来到
[797.2s - 799.2s] 我们在这个视频中
[799.2s - 802.6s] 谈论的原因
[802.6s - 804.6s] Latte Art
[804.6s - 806.6s] Latte Art
[806.6s - 808.6s] 就像是一位厨师
[808.6s - 810.6s] 你花了时间
[810.6s - 812.6s] 来制作一杯美味的
[812.6s - 814.6s] Espresso
[814.6s - 816.9s] 你用了我们所谈论的
[816.9s - 818.9s] 所有的规划
[818.9s - 820.9s] 来制作一种
[820.9s - 824.1s] 完美的牛奶
[824.1s - 826.1s] Latte Art
[826.1s - 828.1s] 就是把奶油
[828.1s - 830.1s] 从杯子的表面
[830.1s - 833.5s] 从杯子的表面
[833.5s - 835.5s] 放在一起
[835.5s - 839.1s] 把奶油
[839.1s - 841.1s] 放在杯子的表面
[841.1s - 843.1s] 用一个白色的球
[843.1s - 845.3s] 放在杯子的表面
[845.3s - 847.3s] 如果球被看见
[847.3s - 850.2s] 然后它就会被浮出
[850.2s - 852.2s] 而如果球被看见
[852.2s - 856.4s] 就会被浮出
[856.4s - 858.4s] 如果球被看见
[858.4s - 861.4s] 就会被浮出
[861.4s - 866.4s] 任何拉提芽的设计,是一种清白的设计在暗黑色的表面上。
[866.4s - 873.3s] 为了达到这种比较,我们需要注意三个主要的高度,
[873.3s - 876.0s] 我们可以控制在浸泡中。
[876.0s - 880.2s] 第一个高度是3英尺高于杯里的液体表面。
[880.2s - 884.2s] 这会使牛奶的泡沫滑下来,
[884.2s - 887.2s] 使杯里的液体表面暗黑。
[887.2s - 893.3s] 第二个重要的高度是1英尺高于杯里的液体。
[893.3s - 896.3s] 这会使某些泡沫滑下来,
[896.3s - 898.3s] 而有些滑下来,
[898.3s - 903.1s] 结果会出现不可期待的黄色。
[903.1s - 906.1s] 要确保你的设计是清白的,
[906.1s - 909.1s] 就是要保持杯里的液体的1英尺高度,
[909.1s - 911.1s] 当你淋上设计。
[911.1s - 913.7s] 就像球的模式一样,
[913.7s - 915.7s] 淋上液体的液体,
[915.7s - 917.7s] 就像球的模式一样,
[917.7s - 919.7s] 就像球的模式一样,
[919.7s - 921.7s] 就像球的模式一样,
[921.7s - 923.9s] 就像球的模式一样,
[923.9s - 925.9s] 就像球的模式一样,
[926.9s - 928.9s] 就像球的模式一样,
[928.9s - 931.9s] 就像球的模式一样,
[934.9s - 936.9s] 用高度松 Alsma hör测这个设计。
[936.9s - 939.9s] 用高度松 Alsma hör测这个设计。
[939.9s - 946.9s] 用高度松 Alsma hör测这个设计。
[946.9s - 949.9s] 安全点是5 inventors
[949.9s - 955.5s] 安全点是5 inventors
[955.5s - 958.7s] 从3英尺以上的高度来填充杯子,
[958.7s - 961.3s] 不让任何设计显示在表面。
[961.3s - 965.4s] 只要液体达到杯子的尾部时,
[965.4s - 969.0s] 停止浸泡以避免整个白色的部位,
[969.0s - 971.4s] 并触碰杯子的尾部。
[971.4s - 974.0s] 快速继续浸泡,
[974.0s - 977.2s] 用杯子触碰杯子的尾部来浸泡一个清白的设计。
[977.2s - 981.6s] 请小心地把杯子稍微抬起来,
[981.6s - 983.6s] 以防它填充起来。
[983.6s - 986.0s] 这里有一个很好的规则,
[986.0s - 988.0s] 如果有任何白色的液体显示在你的设计上,
[988.0s - 992.0s] 这意味着杯子的浸泡并没有浸到杯子的半英尺。
[992.0s - 997.1s] 这意味着杯子的浸泡并没有浸到杯子的液体,
[997.1s - 1000.4s] 或者杯子的浸泡并没有触碰杯子的尾部。
[1000.4s - 1002.4s] 接下来我们要调整的是
[1002.4s - 1004.4s] 从杯子的浸泡率去调整浸泡的浓度,
[1004.4s - 1008.4s] 以及杯子的浸泡浓度和浓度。
[1008.4s - 1011.4s] 当我们把奶和粉倒进杯子中,
[1011.4s - 1013.4s] 浸泡浓度开始增加,
[1013.4s - 1016.4s] 开始从杯子里的浸泡浓度很低,
[1016.4s - 1018.4s] 到杯子里的浸泡浓度很高。
[1018.4s - 1022.0s] 作为结果,
[1022.0s - 1024.0s] 从你开始设计的时候,
[1024.0s - 1026.0s] 杯子的浸泡浓度会越来越高。
[1026.0s - 1029.2s] 从你开始设计以后,
[1029.2s - 1031.2s] 它就会越来越广泛。
[1031.2s - 1034.4s] 在浸泡浓度做了远的浸泡产品,
[1034.4s - 1036.4s] 把浸泡浓度完全满满地滴入杯子中,
[1036.4s - 1038.4s] 激效地滴入杯子中,
[1038.4s - 1040.4s] 并将浸泡浓度将推进杯子的浓度,
[1040.4s - 1042.4s]  Pathway™浸泡浓度,
[1042.4s - 1045.3s] 直到浸泡浓度到杯子里的浓度。
[1045.3s - 1047.3s] 因为你们从准备设计之前,
[1047.3s - 1049.3s] 浸泡浓度较低,
[1049.3s - 1051.3s] 就能让浸泡浓度满满杯子,
[1053.3s - 1060.0s] 现在我们谈论了环境压力方面的时间,我们来谈谈流量方面的问题。
[1060.0s - 1064.3s] 因为环境压力正在增长,当我们填充杯子时,
[1064.3s - 1070.3s] 我们必须继续增长标签的流量,以保持标签的流量。
[1070.3s - 1075.0s] 开始标签时,标签的流量比较低,
[1075.0s - 1079.0s] 并继续标签的流量增长,以保持标签的流量,
[1079.0s - 1083.0s] 以保持标签的流量,以保持标签的流量,以保持标签的流量。
[1083.0s - 1090.1s] 这里是一个标签的部分开始标签的部分的一个例子。
[1090.3s - 1094.3s] 注意标签的表面的影响,使它变得很大。
[1094.3s - 1102.1s] 现在看看标签的表面在标签的部分后,
[1102.1s - 1104.1s] 在标签的表面的部分后,你会看到它变得更长。
[1104.1s - 1106.4s] 标签的表面看起来很小,
[1106.4s - 1109.4s] 就像标签的表面从杯子上流出的机会一样,
[1109.4s - 1112.4s] 因为我们开始标签时,标签的测量比较高。
[1112.4s - 1115.9s] 在每一个标签中,
[1115.9s - 1119.9s] 注意标签的标签的流量增长,
[1119.9s - 1120.9s] 随着标签的增长。
[1120.9s - 1131.9s] 现在我们谈论标签的高度,
[1131.9s - 1133.9s] 以及标签的测量比较高,
[1133.9s - 1136.9s] 最终我们必须要明白的是
[1136.9s - 1138.9s] 标签的位置。
[1138.9s - 1141.8s] 为了明白标签的位置,
[1141.8s - 1145.8s] 我们首先来谈谈标签的流量。
[1145.8s - 1148.0s] 类似标签的测量,
[1148.0s - 1151.0s] 标签的形状会在标签的前方形成,
[1151.0s - 1153.0s] 从标签的底部到标签的底部,
[1153.0s - 1157.1s] 然后从标签的底部到标签的上方形成。
[1157.1s - 1158.1s] 以标签的方式来看,
[1158.1s - 1160.1s] 想象标签的中央形状。
[1160.1s - 1161.4s] 标签的中央形状,
[1161.4s - 1163.4s] 是将标签的测量位置
[1163.4s - 1165.4s] 稍微高于中央形状,
[1165.4s - 1167.4s] 让标签的中央形状
[1167.4s - 1168.4s] 达到标签的底部。
[1168.4s - 1172.7s] 如果标签的中央形状位置
[1172.7s - 1173.7s] 是标签的中央形状,
[1173.7s - 1175.7s] 标签的中央形状将达到标签的底部,
[1175.7s - 1177.7s] 让标签的中央形状空空。
[1177.7s - 1178.7s] 如果标签的中央形状位置
[1178.7s - 1180.7s] 是标签的上方形状,
[1180.7s - 1182.7s] 标签的上方形状将转向标签的底部,
[1182.7s - 1183.7s] 但不会回旋,
[1183.7s - 1185.7s] 创造一个长的形状,
[1185.7s - 1187.7s] 而不是一个漂亮的圈。
[1187.7s - 1189.7s] 如果标签位置在标签的两端,
[1189.7s - 1191.7s] 会创造一个圈形状,
[1191.7s - 1193.7s] 将标签的图案图案固定,
[1193.7s - 1196.3s] 并将一端的图案固定得更大。
[1196.3s - 1197.3s] 首先,我们来看看
[1197.3s - 1198.3s] 标签的中央形状位置
[1198.3s - 1199.3s] 太低的标签位置,
[1199.3s - 1203.2s] 在标签的中央形状的中央。
[1203.2s - 1204.2s] 请注意标签的中央形状位置
[1204.2s - 1205.2s] 在标签的底部,
[1205.2s - 1215.7s] 让标签的中央形状空空。
[1215.7s - 1216.7s] 接下来,我们来看看
[1216.7s - 1217.7s] 标签的中央形状位置
[1217.7s - 1218.7s] 太高的标签位置,
[1218.7s - 1220.9s] 会发生什么?
[1220.9s - 1227.9s] 标签的图案
[1227.9s - 1234.4s] 在标签的底部,
[1234.4s - 1235.4s] 前置的太高,
[1235.4s - 1236.4s] 并不长,
[1236.4s - 1237.4s] 而是有特别的长度。
[1237.4s - 1238.5s] 现在,我们来看看
[1238.5s - 1239.5s] 标签位置
[1239.5s - 1240.5s] 是在标签的一端或其他 luckily,
[1240.5s - 1241.5s] 标签的标签位置
[1241.5s - 1242.5s] 被一圈的大的线
[1242.5s - 1243.5s] 形成的电流,
[1243.5s - 1244.5s] 将标签的中央形状
[1244.5s - 1251.3s] 所带进去,
[1251.3s - 1252.3s] 并将相互共通。
[1252.3s - 1254.3s] 为了帮助标签在学习中
[1254.3s - 1255.3s] 有更好的位置的标签位置,
[1255.3s - 1257.3s] 请注意标签处的笔刺
[1257.3s - 1260.3s] 在标签的标签的上方。
[1260.3s - 1261.3s] 为了这种图案的用途,
[1261.3s - 1266.7s] 设计和其他圆形的设计,一旦球员触碰杯子,保持这个位置
[1266.7s - 1272.8s] 在设计中,让球员将杯子拐向背面,当你不抬头,
[1272.8s - 1276.9s] 会造成一种固定的橙色形状,而不是把它保留得很漂亮和圆形。
[1278.1s - 1280.7s] 到目前为止,在这些例子中,我们已经在添加了一种传统的
[1280.7s - 1285.6s] 卡帕琪诺设计,被称为一只猫头,而一只猫头在其它自己的
[1285.6s - 1289.7s] 角度上是完美的,我们将在底部的脚部放置,以转化它成为一个固定的心形。
[1289.7s - 1295.6s] 为了做到这一点,先开始以我们所谈论的步骤来形成一个很好的猫头。
[1296.9s - 1300.6s] 当杯子差不多满了,将球员提高到3英寸的位置,
[1300.6s - 1306.2s] 以停止继续形成一个设计,然后慢慢地移动牛奶的流水到杯子的底部,
[1306.2s - 1311.5s] 将猫头的头发向一个点,形成了心的尾巴。当你达到杯子的底部时,
[1311.5s - 1317.5s] 立即停止流水,以结束设计。这种技术被称为
[1317.5s - 1321.0s] 拉通设计,并将最常见的拉提亚设计完成。
[1321.6s - 1327.6s] 当进行任何的拉通设计时,请确保将球员返回3英寸的位置,
[1327.6s - 1330.4s] 或将球员拉通设计中的一层粉红线。
[1331.4s - 1337.0s] 也要小心地调节流速,并慢慢地移动中心的设计,以避免
[1337.0s - 1340.5s] 球员将设计的底部滑倒,或将它拉到杯子的底部。
[1341.5s - 1345.0s] 在这段时间内,我们学习了一种明显的
[1345.0s - 1348.7s] 所谓的拉提亚设计,就是固定的心。恭喜!
[1350.4s - 1353.1s] 我们非常建议您在这里停止,
[1353.1s - 1355.2s] 并在进行后,继续把这个设计完整。
[1355.8s - 1360.4s] 好的巴黎手应要有至少一个设计可以适当地给客户加注,
[1360.4s - 1363.7s] 并不需要在他们练习中使用的设计中严谨的设计。
[1364.5s - 1367.9s] 现在我们能够充满心,让我们来做一些瘋狂的设计,
[1367.9s - 1370.3s] 以及学习如何将图形或波动加上设计。
[1371.5s - 1375.5s] 在设计中加上滑动的额度,保持一种充足的流速
[1375.5s - 1379.8s] 从球员身上,并以手掌的远远远回来动作。
[1381.7s - 1384.3s] 这会使牛奶开始在一个 stairs 模式中转动,
[1384.6s - 1391.2s] 中间的牛奶的动作是如何平滑和均匀的
[1391.2s - 1396.2s] 中间的牛奶的动作是如何平滑和均匀的
[1396.2s - 1402.0s] 因为您将牛奶的流量传播到更广泛的区域
[1402.0s - 1407.0s] 牛奶的实际力量是减少的
[1407.0s - 1413.0s] 因此,您必须保持流量高,并不失去动力
[1413.0s - 1418.0s] 节ключった своей heated  Mulker 的裤子
[1418.0s - 1424.0s] 为您增加的滤气即이트的流量
[1424.0s - 1431.0s] 已经 Floyd ~!
[1431.0s - 1447.4s] 但您可以加及注入的螺旋流量
[1447.4s - 1450.9s] 中国滤气 developing 一个
[1450.9s - 1452.7s] 有趣的设计
[1452.7s - 1454.7s]  viewed
[1454.7s - 1455.7s] 因此,您可以彼此更加好
[1455.7s - 1458.7s] 其他设计会更糟糕,以后我们再来看看。
[1458.7s - 1461.6s] 现在我们舒适地把不同种类的心丝放进去,
[1461.6s - 1464.6s] 我们使用这些技巧来做一个更复杂的设计。
[1464.6s - 1467.5s] 这次的设计叫做蜘蛛,
[1467.5s - 1469.5s] 因为它看起来像一朵很可爱的花,
[1469.5s - 1470.5s] 从地上出现出来。
[1470.5s - 1473.5s] 这是一个很好的设计给开始者,
[1473.5s - 1475.5s] 因为它给你机会开始和停止
[1475.5s - 1478.5s] 所有你做过的错误。
[1478.5s - 1482.3s] 开始时,把心丝的形状放在杯子中的中心,
[1482.3s - 1484.3s] 就像我们之前做过的那样。
[1484.3s - 1485.8s] 但这次,
[1485.8s - 1487.8s] 而不是从底部画出来,
[1487.8s - 1489.8s] 把心丝的形状停止放进去,
[1489.8s - 1491.8s] 当心丝的顶部开始形成。
[1491.8s - 1496.0s] 接下来,把心丝的形状放在
[1496.0s - 1498.0s] 心丝的形状中的顶部,
[1498.0s - 1500.0s] 然后把心丝的形状放进
[1500.0s - 1502.0s] 你刚刚形成的波幅中。
[1502.0s - 1504.4s] 如果杯子已经满了,
[1504.4s - 1506.4s] 直接把心丝的形状拉起,
[1506.4s - 1508.4s] 然后把心丝的形状拉进去,
[1508.4s - 1510.8s] 完成设计。
[1510.8s - 1511.8s] 在这个例子中,
